subjects,career_label,career_description,career_opportunities,sl_monthly_salary,sl_location,foreign_monthly_salary,foreign_location,work_type,skills,education_requirement
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",111583,Kandy,4067,USA,Hybrid,Creativity Critical Thinking Python Research Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",62910,Colombo,5273,Australia,Hybrid,Communication Problem Solving Design Critical Thinking Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",139386,Jaffna,3007,Australia,Hybrid,Communication Critical Thinking Python Design Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",74365,Colombo,3708,Australia,On-site,Design Critical Thinking Leadership Analysis Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",104258,Kandy,3045,UK,On-site,Research Teamwork Communication Problem Solving Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",105715,Colombo,5692,USA,Remote,Critical Thinking Python Analysis Teamwork Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",90028,Kandy,3040,Germany,Remote,Research Leadership Critical Thinking Python Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",147886,Jaffna,2967,UK,Remote,Critical Thinking Python Design Problem Solving Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Education, Psychology, Child Development",School Teacher,"Teachers educate students, plan lessons, and assess performance. They work in schools, focusing on academic and social development. Patience, subject knowledge, and communication are key. Teachers play a crucial role in shaping young minds.","Schools, Educational NGOs",123133,Galle,2353,Canada,Remote,Leadership Communication Creativity Design Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",148033,Colombo,4160,Canada,Remote,Critical Thinking Creativity Analysis Python Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
